AREAKEY,YEAR,TRCTPOP8,SHR8D,SHRWHT8,SHRBLK8,SHRAMI8N,SHRAPI8N,SHROTH8N,SHRHSP8,NUMHHS8,SMHSE8,LCLMV8,EDUC168,EDUCPP8,UNEMPRT8,WELFARE8,FAVINC8D,AVHHIN8N,AVHHIN8,FEM198A,FEM248,FEM298,FEM348,FEM748,FEM758,MEN198A,MEN248,MEN298,MEN348,MEN748,MEN758,TOTHSUN8,VACHU8,RNTOCC8,OWNOCC8,TTUNIT58,AGGVAL8,M35PI108,M35PI208,M35PIX8,MDGRENT8,R35PI108,R35PI208,R35PIX8
44007014100,1980,4057,4057,1,0,0,0,0,0.001232,1569,0.631538,0.339578,117,2628,0.097164,0.132569,1085,22712726,14475.92479,48,209,171,147,231,235,77,188,205,96,187,62,1787,170,792,825,299,23001500,19,6,8,215,89,0,0
44007014200,1980,3955,3955,0.928445,0.068521,0,14,0,0.014665,543,0.707545,0.216749,314,2803,0.095411,0.034991,501,11275898,20765.92634,37,76,94,67,230,269,121,372,277,183,235,138,547,9,58,481,3,20321009,44,7,1,356,1,0,0
44007014300,1980,4914,4914,0.998982,0,0,0,5,0.01974,1882,0.679689,0.235455,894,3429,0.062289,0.034538,1467,58219890,30935.1169,66,171,183,130,305,128,69,169,116,159,230,74,1937,68,521,1350,512,92073099,55,18,35,326,72,0,0
44007014400,1980,4029,4029,0.983371,0,0,67,0,0.002978,1510,0.718974,0.195385,730,2824,0.050569,0.027815,1196,42607375,28216.80464,66,121,108,124,260,88,57,134,95,120,215,33,1632,108,327,1197,475,70160000,71,30,11,353,36,15,0
44007014501,1980,2481,2481,1,0,0,0,0,0.001612,858,0.648706,0.270683,213,1585,0.078888,0.032634,722,18987399,22129.83566,35,90,64,140,114,53,56,98,72,90,86,27,880,26,177,672,44,32152299,19,7,1,278,21,0,0
44007014502,1980,2975,2975,1,0,0,0,0,0.002353,1030,0.649452,0.271666,260,1901,0.08005,0.036893,867,22746871,22084.34078,45,109,80,171,140,66,71,120,91,109,107,37,1057,35,216,811,56,38516993,27,10,4,278,28,0,0
44007014600,1980,3140,3140,0.990446,0,0,17,14,0,977,0.686054,0.181633,328,1960,0.075045,0.028659,861,23367196,23917.29376,40,118,141,146,119,75,56,121,111,166,92,39,1036,34,117,887,14,42604052,62,9,9,268,15,0,0
44007014700,1980,6894,6894,0.98651,0.007398,12,13,17,0.00087,2847,0.647956,0.299268,329,4574,0.085347,0.155251,1950,41616169,14617.55146,108,360,329,191,397,399,94,341,282,204,276,194,2946,135,1480,1330,610,36905250,62,0,7,222,138,0,0
44007014800,1980,4571,4571,1,0,0,0,0,0.001313,1388,0.84402,0.126876,225,2866,0.115063,0.056196,1232,28457280,20502.36311,97,181,173,132,148,178,61,192,160,112,109,84,1444,33,255,1156,89,49508000,36,6,0,255,20,0,0
44007015000,1980,4525,4525,0.98232,0.00663,0,8,42,0.01105,1718,0.734727,0.219925,215,2812,0.097052,0.090221,1219,28263266,16451.26077,66,200,178,158,281,173,69,189,156,188,158,86,1761,87,706,968,135,29306500,34,0,1,201,46,0,0
44007015100,1980,4621,4621,0.855659,0.040684,29,0,450,0.108634,1655,0.478924,0.261967,92,2486,0.08815,0.220544,1148,20315350,12275.13595,76,265,185,144,225,146,90,201,188,144,132,73,1817,137,1282,398,561,8880000,8,0,0,179,87,0,0
44007015200,1980,2470,2470,0.926721,0.024696,14,0,106,0.065587,1611,0.399496,0.517415,86,1986,0.209235,0.198014,461,11063190,6867.281192,39,103,58,22,405,394,10,93,78,63,197,198,1793,91,1642,60,1495,961250,0,0,0,130,82,0,0
44007015300,1980,2151,2151,0.967922,0.002325,0,0,63,0.034868,923,0.503497,0.371628,93,1348,0.111748,0.150596,602,12488875,13530.74215,31,86,106,62,154,94,41,107,100,55,48,62,955,83,586,286,176,5042750,0,0,0,196,46,0,0
44007015400,1980,2042,2042,0.991675,0,0,17,0,0.01763,797,0.502887,0.388451,37,1122,0.053476,0.125471,583,9955996,12491.8394,50,141,52,74,101,66,0,132,73,47,56,64,812,69,601,142,158,690506,18,0,0,199,97,0,0
44007015500,1980,4066,4066,0.98426,0.001968,39,0,17,0.042794,1482,0.661587,0.247241,124,2526,0.084626,0.114035,1108,23747240,16023.77868,67,192,197,137,169,173,98,162,200,109,159,38,1612,69,693,850,137,25528000,19,7,0,202,38,0,0
44007015600,1980,2423,2423,0.981841,0,19,13,12,0.004953,955,0.684716,0.271179,46,1521,0.057121,0.081675,681,15247784,15966.26597,54,141,86,76,116,127,35,128,112,52,82,50,1037,56,518,463,117,12514494,0,0,0,202,45,0,0
44007015700,1980,4019,4019,0.998507,0.001493,0,0,0,0.001493,1458,0.774674,0.175457,220,2649,0.073699,0.07476,1168,26785815,18371.61523,60,168,159,123,245,96,65,182,156,123,151,66,1504,29,351,1124,56,40944000,39,0,0,214,43,0,0
44007015800,1980,4040,4040,0.996535,0,8,0,6,0.00495,1499,0.771852,0.198751,188,2670,0.031941,0.043362,1139,27854115,18581.79787,47,165,131,146,209,223,83,162,142,109,184,99,1586,53,496,1037,43,36920000,51,0,0,217,53,0,0
44007015900,1980,3139,3139,1,0,0,0,0,0.011787,1153,0.609375,0.285666,140,1903,0.069283,0.082394,811,20286068,17594.16132,54,174,138,102,136,162,40,154,97,90,95,71,1314,64,561,689,105,20319945,53,0,0,225,31,0,0
44007016000,1980,2941,2941,0.977559,0.00714,6,0,40,0.020741,1378,0.522024,0.373862,206,1912,0.096224,0.093614,746,20734367,15046.71045,19,179,133,155,145,158,33,152,174,123,90,62,1416,121,1036,259,544,5589805,2,0,0,214,106,0,0
44007016100,1980,4135,4135,0.945103,0.006771,0,24,175,0.046191,1763,0.575908,0.347531,151,2440,0.101365,0.132161,1051,22282640,12639.04708,83,244,214,132,154,181,85,216,266,112,131,60,1902,158,1347,397,498,6110000,12,0,0,196,106,0,0
44007016300,1980,3486,3486,0.983075,0.007745,0,2,30,0.00545,1313,0.720495,0.242077,294,2313,0.055405,0.079148,998,24304675,18510.79589,55,149,182,89,175,142,43,139,144,111,134,78,1353,40,401,911,137,32366500,30,12,6,214,51,0,0
44007016400,1980,4983,4983,0.892234,0.035922,6,22,330,0.043548,1901,0.505079,0.335855,179,2930,0.050275,0.126775,1266,25782845,13562.78012,82,245,179,169,214,274,99,209,200,183,168,82,2024,151,1313,560,391,10071250,41,0,0,207,115,0,0
44007016500,1980,3831,3831,0.997651,0.00261,0,0,0,0.010702,1525,0.698668,0.236959,632,2542,0.034483,0.059672,1068,31989929,20977.00262,46,157,178,164,176,194,39,121,162,152,143,117,1593,63,633,896,191,45095250,45,14,8,239,82,0,0
44007016600,1980,1754,1754,0.973204,0.026796,0,0,0,0.061574,634,0.520073,0.385645,51,992,0.023399,0.141956,488,9424795,14865.60726,51,152,93,49,68,54,29,94,101,81,54,22,663,43,375,245,146,4716250,6,0,0,221,26,0,0
44007016700,1980,3160,3160,0.966456,0.01962,2,7,34,0.041456,1274,0.582879,0.337312,150,1941,0.058373,0.105181,839,19700986,15463.88226,44,178,122,131,154,128,76,188,143,101,74,84,1384,91,835,458,302,11120000,8,1,0,206,87,0,0
44007016800,1980,3137,3137,0.994581,0,0,5,10,0.008288,1172,0.753,0.204333,243,2072,0.050311,0.057167,905,22404159,19116.17662,41,144,96,118,181,137,79,107,99,70,112,71,1236,15,321,898,122,31606455,35,0,0,248,46,0,0
44007016900,1980,2235,2235,0.976286,0.003579,0,41,0,0.007159,876,0.760446,0.163417,351,1601,0.065317,0.052511,663,21838090,24929.32648,27,58,53,76,169,95,15,81,64,73,159,53,846,29,158,657,62,33644200,37,4,0,206,6,0,0
44007017000,1980,3748,3748,0.989061,0.009338,5,1,1,0.007204,1444,0.677106,0.21286,246,2641,0.061538,0.058172,1100,27157923,18807.4259,75,146,135,102,197,235,59,144,132,113,147,118,1492,64,391,1037,265,35237888,16,4,0,294,80,0,0
44007017100,1980,4546,4546,0.91707,0.053674,15,46,77,0.087989,1629,0.658312,0.237645,111,2698,0.060805,0.158379,1237,26237217,16106.33333,81,241,172,161,202,159,128,196,196,118,144,84,1757,112,852,797,332,21982457,10,6,0,194,79,0,0
44007017300,1980,3700,3700,0.981892,0.018108,0,0,0,0.013514,1367,0.570126,0.307851,340,2288,0.047942,0.083394,981,26036560,19046.49598,48,166,197,129,207,122,63,152,197,128,147,36,1450,46,804,600,231,23256000,17,0,10,229,78,4,0
44007017400,1980,4978,4978,0.97268,0.019084,0,22,19,0.001406,1549,0.618102,0.343046,157,2569,0.065466,0.241446,1170,20983450,13546.44932,122,223,207,159,154,201,164,93,137,159,151,49,1679,88,1144,447,680,9018750,7,0,5,155,22,0,0
44007017500,1980,3534,3534,0.99236,0.00764,0,0,0,0,1280,0.695456,0.265423,226,2214,0.0573,0.079688,953,23385515,18269.93359,49,172,147,114,176,129,65,159,141,113,102,64,1299,34,576,689,149,15758750,7,0,0,222,92,0,0
44007017600,1980,2864,2864,0.931215,0.058659,0,29,0,0,1023,0.568702,0.36374,118,1508,0.111878,0.192571,729,13540980,13236.53959,47,189,118,99,98,89,50,143,128,91,67,63,1256,164,812,280,288,4515000,7,0,0,200,106,0,0
44007017700,1980,3857,3857,0.998704,0,5,0,0,0.006741,1382,0.711275,0.224959,187,2463,0.049364,0.078148,1102,25001434,18090.76266,34,172,134,170,213,84,30,157,134,136,130,80,1423,26,507,890,112,28538478,57,0,0,216,81,0,0
44007017800,1980,2724,2724,0.96696,0.03304,0,0,0,0.014317,1053,0.453778,0.47709,121,1566,0.085791,0.120608,683,13540970,12859.4207,37,133,128,77,139,93,28,113,115,106,86,58,1129,65,768,296,387,4835000,6,9,0,195,44,0,0
44007017900,1980,3557,3557,0.97779,0.001968,9,63,0,0.009559,1558,0.472622,0.43836,66,2190,0.079061,0.147625,948,19325480,12404.03081,52,213,139,132,243,220,44,185,208,115,168,73,1636,67,1269,300,637,3498750,10,0,0,178,76,0,0
44007018000,1980,2890,2890,0.93737,0.035986,0,11,66,0.018339,1493,0.622874,0.321028,84,2119,0.119358,0.152043,664,12513770,8381.627595,46,93,52,54,319,437,42,81,139,34,215,152,1785,275,1338,172,1095,2586250,0,0,0,139,59,0,0
44007018100,1980,3054,3054,0.990177,0,7,0,23,0.009168,1241,0.584429,0.32492,62,1744,0.046407,0.210314,839,15579080,12553.65028,21,172,90,149,147,118,60,139,75,117,106,47,1366,123,1041,202,644,2606250,0,0,0,193,92,0,0
44007018200,1980,2518,2518,0.998014,0.001986,0,0,0,0.00556,1003,0.523995,0.353221,43,1516,0.037319,0.090728,731,14995475,14950.62313,66,156,107,62,145,51,31,138,144,66,97,23,1031,33,736,262,411,3597500,0,0,0,210,40,0,0
44007018300,1980,1594,1594,0.99059,0.005019,0,7,0,0,648,0.539447,0.369521,31,959,0.079063,0.148148,386,9619875,14845.48611,13,93,78,65,72,60,16,55,65,53,66,34,706,26,528,152,360,2307500,0,0,0,201,6,0,0
44007018400,1980,7473,7473,0.978991,0.006289,13,55,42,0.009768,2399,0.685779,0.220693,399,4632,0.051827,0.115882,1915,41609762,17344.62776,129,222,250,291,347,558,123,203,197,264,253,159,2459,37,1135,1287,1001,53964719,39,0,5,182,76,0,0
44007018500,1980,3105,3105,0.992915,0,0,24,0,0.005475,1086,0.675881,0.27678,102,1863,0.076653,0.127072,883,20322011,18712.71731,88,137,124,142,129,56,76,124,178,75,77,54,1100,32,425,647,140,21388004,15,9,2,217,28,0,0
44007000101,1990,4960,4960,0.608871,0.198992,41,398,513,0.187298,1404,0.52431,0.233246,272,2473,0.125103,0.205128,1066,43598399,31052.99074,163,305,229,187,102,124,284,318,221,196,81,69,1523,103,683,737,108,55674964,11,18,47,487,164,82,6
44007000102,1990,5350,5350,0.542243,0.233084,60,450,692,0.230654,1529,0.503268,0.248979,302,2703,0.130145,0.223022,1159,45629400,29842.64225,160,305,237,205,113,141,255,310,224,216,86,73,1672,128,812,733,166,53418030,12,16,55,479,200,115,13
44007000200,1990,6702,6702,0.322143,0.345718,141,647,1438,0.373918,1976,0.431709,0.301614,409,3535,0.149207,0.28087,1489,51356717,25990.2414,139,281,256,270,151,205,96,252,224,289,101,86,2217,228,1326,663,415,39456514,15,8,86,450,350,254,42
44007000300,1990,6979,6979,0.314228,0.34002,235,1057,1121,0.361083,2117,0.404885,0.290036,190,3678,0.119928,0.220123,1443,54307939,25653.25413,130,331,354,223,144,173,124,271,310,329,122,88,2521,374,1590,556,736,26573917,14,12,22,418,433,176,18
44007000400,1990,3202,3202,0.199563,0.53935,121,178,537,0.329169,915,0.444093,0.360056,106,1576,0.207466,0.369399,743,20168661,22042.25246,19,184,134,169,71,9,72,61,167,123,24,14,1099,200,691,208,71,7685500,8,18,0,421,217,112,0
44007000500,1990,2522,2522,0.166931,0.521015,69,116,602,0.340999,792,0.501748,0.307255,39,1287,0.227692,0.316919,573,14371411,18145.72096,57,80,160,112,73,47,66,98,79,77,33,8,929,121,513,295,162,16222924,39,27,0,354,129,36,7
44007000600,1990,1836,1836,0.28159,0.529956,13,62,265,0.182462,539,0.382263,0.359021,52,1093,0.15109,0.270872,358,11338209,21035.63822,18,71,121,75,90,78,65,50,52,68,61,26,645,100,385,157,167,5990489,7,11,0,391,95,62,0
44007000700,1990,2216,2216,0.458032,0.337094,34,178,240,0.154783,675,0.302799,0.416794,139,1294,0.142056,0.32,342,9610260,14237.42222,47,116,99,93,110,206,61,108,31,85,117,80,793,122,586,83,439,1726224,0,0,0,246,169,61,0
44007000800,1990,2491,2491,0.843035,0.077077,18,127,55,0.048575,1204,0.395197,0.249084,385,1567,0.125261,0.239203,253,33415067,27753.37791,274,216,49,19,177,359,132,194,61,60,121,181,1429,164,1221,45,1321,3168526,1,1,0,320,302,67,6
44007000900,1990,2209,2209,0.922137,0.022182,6,14,106,0.132639,1099,0.451297,0.340186,189,1498,0.107143,0.22111,486,22402542,20384.47862,44,93,118,81,179,154,22,114,107,104,106,37,1276,236,897,143,509,4323201,4,0,0,406,258,106,8
44007001000,1990,2329,2329,0.846286,0.021898,0,11,291,0.127952,1153,0.510549,0.31083,156,1733,0.154501,0.278404,540,21049739,18256.49523,26,75,156,67,150,292,18,16,110,43,84,100,1382,238,866,275,605,7008129,18,9,0,295,220,89,9
44007001100,1990,2238,2238,0.893655,0.012064,1,7,204,0.187221,926,0.382017,0.384004,209,1357,0.072978,0.201944,522,19848368,21434.52268,11,97,154,163,87,70,2,112,129,117,53,19,1259,293,771,195,236,7238963,9,8,9,463,220,157,0
44007001200,1990,2586,2586,0.21191,0.537896,85,108,454,0.28693,857,0.387755,0.37386,34,1357,0.109694,0.418903,557,12288518,14338.99417,20,117,94,118,126,140,49,89,87,96,68,41,1115,194,819,102,387,3015000,0,0,14,394,254,78,8
44007001300,1990,4034,4034,0.579078,0.097174,70,571,665,0.323004,1418,0.315846,0.349839,227,2321,0.079218,0.210155,885,35560016,25077.58533,65,216,133,237,132,160,97,251,178,247,76,75,1626,276,1014,336,367,4362365,0,7,8,439,287,97,20
44007001400,1990,5921,5921,0.266002,0.267691,108,1222,1432,0.396048,1737,0.40888,0.291699,192,2980,0.127019,0.35924,1290,37437241,21552.81577,114,214,291,304,88,123,76,303,281,227,75,66,2056,296,1319,441,346,13151773,1,1,15,442,438,195,24
44007001500,1990,2589,2589,0.770568,0.103129,15,273,39,0.089224,953,0.510196,0.352892,284,1604,0.055679,0.10808,723,32945381,34570.17943,21,127,140,164,87,128,7,170,118,124,91,61,1042,118,373,551,2,39588727,36,6,33,499,58,53,1
44007001600,1990,6242,6242,0.889138,0.020827,8,190,364,0.086351,2368,0.452533,0.403117,396,3883,0.091148,0.173986,1555,67563562,28531.90963,80,255,316,373,299,207,101,169,391,250,187,90,2677,242,1610,825,163,33307197,14,9,33,509,267,238,66
44007001700,1990,2992,2992,0.985628,0.008021,0,0,18,0.043449,1278,0.554622,0.340153,181,2046,0.084861,0.160407,857,34536558,27023.9108,36,146,151,136,189,171,33,104,217,127,135,66,1424,143,741,540,25,21141065,33,9,9,476,160,132,26
44007001800,1990,4908,4908,0.780155,0.091891,52,178,396,0.140383,1860,0.421229,0.386592,186,3038,0.094036,0.16828,1364,52865024,28422.05591,72,216,338,269,204,128,54,171,270,269,166,67,2247,457,968,820,435,54345028,19,15,21,433,233,176,10
44007001900,1990,4789,4789,0.664231,0.077678,8,380,854,0.33222,1829,0.350389,0.336241,199,2773,0.103549,0.232367,1114,34249991,18726.0749,69,199,270,208,222,206,35,191,264,235,131,90,2227,391,1492,347,537,8878606,10,1,0,420,474,177,22
44007002000,1990,4053,4053,0.785097,0.096718,92,66,319,0.120405,1597,0.586029,0.314759,239,2563,0.118009,0.18159,1063,39697157,24857.33062,38,165,217,203,272,195,55,168,191,171,162,95,1881,268,968,644,607,47523608,37,2,34,342,154,137,37
44007002101,1990,2492,2492,0.944222,0.012841,1,46,57,0.053371,1007,0.590419,0.267587,299,1713,0.077151,0.06852,688,32867318,32638.84608,20,110,147,113,164,127,28,97,127,107,113,70,1086,76,458,551,28,38755449,28,13,20,509,77,48,16
44007002102,1990,4443,4443,0.944632,0.012829,2,83,102,0.053567,1797,0.590414,0.267732,534,3056,0.077339,0.068447,1227,58606151,32613.32833,36,196,263,202,292,227,51,174,227,191,202,125,1936,135,817,983,50,69105356,50,23,37,509,138,87,28
44007002200,1990,3722,3722,0.832617,0.054272,4,153,264,0.149651,1473,0.446276,0.347365,307,2252,0.078571,0.092329,874,39127625,26563.22132,41,253,219,218,168,108,25,240,234,150,107,72,1774,291,1098,385,116,11155000,11,8,10,477,272,128,0
44007002300,1990,5043,5043,0.959746,0.01051,62,0,88,0.031529,1970,0.548482,0.290471,1183,3426,0.059189,0.072589,1211,73201349,37158.04518,31,437,220,243,290,384,48,296,147,271,199,156,2219,219,904,1096,112,103545000,92,69,39,537,106,150,21
44007002400,1990,7844,7844,0.982407,0.003315,1,24,92,0.011091,2122,0.55557,0.166511,1402,4204,0.027613,0.032988,1581,93296471,43966.29171,1487,855,231,197,385,285,154,166,249,228,398,223,2250,94,458,1700,75,178036069,86,27,102,482,59,66,13
44007002500,1990,2538,2538,0.64933,0.102049,27,451,157,0.084712,1037,0.45395,0.219118,232,1509,0.091346,0.174542,566,24804791,23919.75988,49,155,154,115,105,76,37,100,168,178,69,18,1132,181,762,191,116,3394674,1,5,0,443,200,121,10
44007002600,1990,3617,3617,0.584186,0.131877,27,583,417,0.274537,1295,0.436589,0.269767,156,1925,0.106628,0.275676,787,26785911,20684.10116,71,165,166,155,91,115,37,204,140,116,91,60,1598,228,1072,297,258,7448325,7,0,0,431,232,166,18
44007002700,1990,4177,4177,0.624611,0.285612,37,0,338,0.162557,1475,0.443929,0.361528,226,2248,0.154286,0.244068,1021,37728266,25578.48542,67,256,296,171,127,105,66,223,253,161,118,52,1638,140,1095,403,411,24562500,14,16,36,469,185,115,23
44007002800,1990,5271,5271,0.898312,0.057864,0,160,71,0.045153,2270,0.498268,0.323823,449,3543,0.07366,0.151542,1395,64228252,28294.38414,41,281,371,201,335,339,48,262,228,332,192,144,2556,239,1418,899,445,63460000,29,0,19,461,313,220,0
44007002900,1990,5917,5917,0.960453,0.019436,0,18,101,0.051377,2619,0.603143,0.281929,441,4153,0.079092,0.148148,1653,67959234,25948.54296,13,229,361,233,456,335,104,196,269,245,311,149,2897,270,1441,1187,528,73041697,8,25,39,443,324,205,30
44007003100,1990,3922,3922,0.539776,0.328659,87,308,121,0.049975,1955,0.369194,0.200747,1194,2703,0.091329,0.113043,632,62689108,32066.0399,74,218,241,120,254,389,33,302,277,103,160,116,2328,320,1578,430,1053,46115000,30,0,0,371,222,170,77
44007003200,1990,3825,3825,0.605752,0.276601,51,41,358,0.059869,1499,0.466799,0.21765,1155,2319,0.058931,0.088059,907,56700315,37825.42695,31,279,205,219,126,79,95,240,260,159,81,34,1614,142,924,548,79,44250000,15,24,16,596,125,171,41
44007003300,1990,4742,4742,0.865247,0.084142,28,112,101,0.017292,1936,0.467028,0.269196,1651,3553,0.05907,0.065599,1131,79169097,40893.12862,39,169,192,244,196,487,51,106,256,256,147,191,2049,126,950,973,188,105814206,31,9,91,657,79,174,84
44007003400,1990,4751,4751,0.957062,0.013681,0,139,0,0.024626,1886,0.643747,0.118603,2515,3292,0.025129,0.017497,1310,188231468,99804.59597,38,157,134,208,207,184,18,232,151,196,180,112,1994,109,504,1381,122,389442500,32,23,115,733,36,52,20
44007003500,1990,4537,4537,0.906105,0.035045,8,222,37,0.017192,2320,0.325205,0.221969,1928,3145,0.078228,0.028017,701,96432802,41565.86293,60,440,373,205,138,309,12,416,449,221,110,89,2490,152,1748,590,1077,83133662,7,6,35,585,259,235,155
44007003601,1990,2558,2558,0.8405,0.048475,8,238,38,0.036747,654,0.204762,0.095238,524,810,0.054988,0.024465,202,29892441,45707.09633,325,450,89,42,40,67,297,527,96,54,31,24,750,75,484,191,299,40818570,3,1,10,618,119,68,28
44007003602,1990,6079,6079,0.821352,0.05264,20,644,102,0.04277,1097,0.170404,0.05896,853,1253,0.045405,0.021878,346,53908070,49141.35825,976,1211,127,48,67,83,912,1457,119,78,51,38,1324,171,800,352,496,92770268,7,0,17,634,265,115,25
44007003700,1990,4021,4021,0.84755,0.060681,55,113,201,0.025367,1850,0.437828,0.187828,867,2405,0.084602,0.058378,734,61597194,33295.78054,64,508,256,126,181,206,61,450,197,260,113,56,2066,222,1357,487,484,32110000,8,10,9,516,325,227,73
44007010101,1990,3919,3919,0.970911,0.021944,9,6,13,0.002297,1576,0.673602,0.243988,717,2759,0.056382,0.048858,1112,66584695,42249.17195,47,118,147,222,241,131,33,102,131,210,171,89,1631,57,448,1126,251,127206000,50,12,125,518,40,42,16
44007010102,1990,4055,4055,0.977559,0.018002,1,5,12,0.006658,1742,0.702759,0.218896,857,2991,0.038328,0.072905,1122,78126891,44848.96154,62,98,126,160,338,325,37,99,169,94,201,134,1806,52,515,1239,385,155261037,41,21,62,299,111,28,8
44007010200,1990,7155,7155,0.877009,0.063732,43,32,349,0.026695,2720,0.678021,0.20779,380,4955,0.048761,0.066912,1852,85769541,31532.91949,68,283,327,308,438,441,42,348,318,321,370,133,2844,159,1320,1365,383,106852500,21,15,98,432,132,151,51
44007010300,1990,4252,4252,0.820555,0.097836,69,5,273,0.030809,1726,0.629177,0.30399,202,2991,0.050258,0.10139,1107,54026396,31301.50406,43,147,139,204,265,313,37,108,237,127,163,133,1796,65,706,1025,365,96652500,48,39,61,272,71,61,6
44007010400,1990,7250,7250,0.909241,0.046345,53,62,207,0.024414,2821,0.588704,0.271051,530,4860,0.081054,0.087203,1955,89498767,31725.9011,86,350,364,270,379,394,77,267,275,353,272,194,2935,96,1499,1340,699,118655000,80,0,49,484,184,231,23
44007010501,1990,4979,4979,0.932115,0.041775,0,19,111,0.02611,1851,0.675474,0.250586,558,3487,0.065436,0.102647,1381,65463084,35366.33387,69,182,209,219,328,387,80,154,176,155,215,161,1909,52,692,1165,421,133362500,65,27,30,456,97,85,0
44007010502,1990,4829,4829,0.889832,0.070615,7,46,137,0.00497,1974,0.611868,0.246154,748,3546,0.055494,0.029382,1222,75785643,38391.91641,83,151,164,255,318,331,85,142,170,264,254,139,2129,155,915,1059,476,124417933,66,37,39,582,86,138,5
44007010600,1990,7128,7128,0.946128,0.030163,21,40,108,0.02876,2997,0.618591,0.257417,661,4856,0.073786,0.070737,1922,90766841,30285.89957,99,228,313,385,411,349,57,210,410,285,260,158,3071,122,1310,1639,745,159322500,112,25,83,416,195,115,9
44007010701,1990,2535,2535,0.979093,0.010256,0,28,0,0,1017,0.748428,0.136268,351,1885,0.024727,0.028515,758,46778075,45996.14061,39,85,78,113,227,118,13,64,74,133,162,67,1093,51,282,760,216,83264567,14,0,56,629,0,16,24
44007010702,1990,4829,4829,0.975357,0.013253,0,39,16,0.002899,1757,0.718743,0.18765,662,3345,0.029444,0.052931,1337,72639863,41343.12066,75,112,167,244,230,164,50,181,198,201,205,104,1820,57,284,1479,166,167865000,30,18,110,496,29,39,5
44007010800,1990,4374,4374,0.773891,0.032693,20,31,795,0.32053,1693,0.46857,0.315302,256,2728,0.1001,0.18606,1098,38058955,22480.18606,46,146,196,211,228,299,89,152,225,93,131,180,1997,221,1430,346,624,10195000,13,3,8,381,378,183,0
44007010900,1990,4384,4384,0.876369,0.013914,5,13,463,0.229243,1577,0.46221,0.372911,122,2881,0.112949,0.125555,1046,38033618,24117.70323,27,159,217,189,237,383,94,165,248,192,158,125,1751,172,1193,386,375,7765000,0,0,8,402,216,173,20
44007011000,1990,5039,5039,0.783489,0.018059,0,1,997,0.347093,1805,0.503954,0.315905,92,2958,0.083576,0.171745,1259,43456700,24075.73407,66,247,296,170,202,189,55,205,250,279,141,70,2034,181,1396,456,409,9877104,9,5,0,420,326,192,9
44007011100,1990,3812,3812,0.71852,0.065582,0,26,797,0.250787,1379,0.531112,0.357122,143,2268,0.101493,0.17984,963,34199602,24800.29152,75,151,214,258,144,100,41,153,214,179,87,70,1518,119,1038,361,272,7691848,7,21,6,396,198,98,0
44007011200,1990,5642,5642,0.990783,0,9,0,43,0.030486,2232,0.610722,0.263686,360,3872,0.061894,0.0681,1593,72258155,32373.72536,90,224,272,238,335,321,92,167,337,204,301,66,2339,111,1110,1118,263,91330000,14,17,36,383,127,50,6
44007011301,1990,3640,3640,0.994231,0.005769,0,0,0,0.006868,1304,0.639169,0.320772,364,2435,0.064733,0.060583,1035,54711605,41956.7523,43,101,159,150,154,95,7,109,95,180,134,65,1386,59,469,858,54,105402500,26,20,38,471,85,24,8
44007011302,1990,3803,3803,1,0,0,0,0,0.014462,1249,0.650856,0.215829,443,2533,0.065,0.028823,1097,60099487,48118.08407,45,123,115,195,166,73,38,128,127,189,157,54,1289,17,62,1210,16,161541000,10,18,95,408,7,0,0
44007011401,1990,6492,6492,0.979821,0.007548,0,82,0,0.010166,2404,0.680619,0.206515,1254,4486,0.059461,0.049501,1912,126709011,52707.57529,90,191,187,219,348,226,105,227,160,231,263,123,2444,83,394,1967,263,329650000,72,31,204,249,58,17,17
44007011402,1990,3595,3595,1,0,0,0,0,0.015299,1253,0.615407,0.2326,910,2504,0.047643,0.02075,1013,71699919,57222.60096,34,115,181,119,148,163,50,60,134,114,111,30,1297,60,99,1136,4,185027375,22,0,143,540,0,14,0
44007011403,1990,5889,5889,0.996943,0.002717,0,0,0,0.001528,2378,0.525604,0.241075,1172,4191,0.031921,0.042052,1803,113257249,47627.10219,92,206,379,215,330,201,61,210,228,349,244,101,2469,121,504,1842,503,221086327,42,16,221,566,23,14,14
44007011500,1990,5201,5201,0.972121,0,0,144,0,0.000577,2080,0.600941,0.297198,778,3632,0.044813,0.05,1454,94130797,45255.19087,44,160,287,173,280,300,51,167,254,161,215,141,2171,103,1091,976,662,113775926,16,23,31,467,92,118,16
44007011600,1990,4453,4453,0.99506,0.002021,8,6,0,0.000225,1607,0.652475,0.247548,784,3099,0.035002,0.004356,1244,105898204,65898.07343,89,108,99,187,251,150,55,114,153,114,173,101,1658,31,291,1336,237,239851008,23,34,129,421,63,32,1
44007011701,1990,4483,4483,0.992862,0.000223,0,1,32,0.00513,1892,0.670203,0.297737,538,3201,0.06135,0.088266,1354,72789655,38472.33351,89,150,107,239,351,276,36,145,161,183,259,134,1954,61,764,1130,326,131667156,33,1,104,446,132,136,1
44007011702,1990,3965,3965,0.989912,0.001765,19,13,0,0.024716,1483,0.700632,0.222466,758,2760,0.056922,0.036413,1169,63400599,42751.58395,39,143,94,147,271,116,33,77,192,185,216,112,1547,49,366,1131,59,150881450,45,19,75,521,27,45,4
