AREAKEY,YEAR,TRCTPOP8,SHR8D,SHRWHT8,SHRBLK8,SHRAMI8N,SHRAPI8N,SHROTH8N,SHRHSP8,NUMHHS8,SMHSE8,LCLMV8,EDUC168,EDUCPP8,UNEMPRT8,WELFARE8,FAVINC8D,AVHHIN8N,AVHHIN8,FEM198A,FEM248,FEM298,FEM348,FEM748,FEM758,MEN198A,MEN248,MEN298,MEN348,MEN748,MEN758,TOTHSUN8,VACHU8,RNTOCC8,OWNOCC8,TTUNIT58,AGGVAL8,M35PI108,M35PI208,M35PIX8,MDGRENT8,R35PI108,R35PI208,R35PIX8
44007002102,1980,4506,4506,0.989791,0,8,18,20,0.009765,1793,0.730259,0.226182,239,3055,0.075354,0.104852,1340,30200296,16843.44451,92,229,205,147,341,176,56,182,207,114,212,124,1882,112,750,1019,42,28915840,40,7,0,231,111,0,0
44007002200,1980,3766,3766,0.986458,0.009294,16,0,0,0.002655,1500,0.577401,0.344915,161,2394,0.086905,0.132,937,19063345,12708.89667,74,235,206,72,255,108,38,201,190,135,172,72,1653,138,1056,459,122,6140000,10,0,0,220,191,0,0
44007002300,1980,5315,5315,0.986077,0.002258,14,48,0,0.010348,2067,0.638046,0.243797,844,3427,0.049314,0.050314,1405,42353445,20490.29753,74,385,277,141,390,242,86,337,227,166,240,115,2180,102,908,1170,110,37224000,57,6,0,242,139,0,0
44007002400,1980,7872,7872,0.987297,0.004954,1,38,24,0.005462,2147,0.670695,0.147774,825,4221,0.056063,0.075454,1732,44876256,20901.84257,815,747,194,202,431,297,409,506,194,194,311,169,2221,48,423,1753,45,66948169,112,6,0,240,63,0,0
44007002500,1980,2359,2359,0.894447,0.055108,13,82,27,0.042391,1013,0.489262,0.338469,118,1328,0.131552,0.209279,603,11449367,11302.43534,11,114,130,73,171,79,39,161,103,61,113,34,1104,167,688,249,117,1255470,0,0,0,202,120,0,0
44007002600,1980,3429,3429,0.857101,0.107903,10,87,23,0.084573,1498,0.559354,0.292728,160,2221,0.130701,0.178238,826,16521780,11029.22563,86,187,121,163,217,156,44,136,137,154,115,94,1765,228,1179,357,273,3562653,11,0,0,181,136,0,0
44007002700,1980,3724,3724,0.787863,0.189044,11,9,66,0.010741,1255,0.530268,0.318104,125,1885,0.095477,0.169721,851,16799285,13385.88446,148,246,155,84,169,112,209,369,142,102,124,45,1735,464,786,485,292,9686250,32,0,0,188,46,0,0
44007002800,1980,5085,5085,0.965585,0.014749,25,63,12,0.00354,2030,0.615432,0.287077,233,3233,0.101789,0.151724,1401,28175875,13879.74138,101,300,216,158,339,200,117,306,210,143,210,116,2274,226,1145,903,322,22560000,44,7,0,216,183,0,0
44007002900,1980,5834,5834,0.994001,0,0,0,35,0.0036,2447,0.735996,0.23184,210,4007,0.077206,0.118512,1676,36102014,14753.58153,108,314,270,128,417,263,78,225,262,142,281,150,2639,174,1357,1110,561,26146097,58,0,0,189,129,0,0
44007003100,1980,4057,4057,0.564703,0.341139,60,103,219,0.027114,1933,0.395511,0.315531,809,2573,0.077966,0.118469,779,26347205,13630.21469,60,314,272,123,240,347,53,329,189,236,108,103,2132,191,1577,364,970,12453750,0,0,0,180,201,0,0
44007003200,1980,3618,3618,0.624655,0.315091,56,17,145,0.008015,1419,0.543276,0.275532,847,2184,0.091193,0.133897,921,27261720,19211.92389,30,183,191,217,129,108,31,170,180,163,83,85,1530,105,811,614,83,21220000,18,13,0,262,103,0,0
44007003300,1980,4741,4741,0.930184,0.054208,0,53,20,0.009914,1849,0.473602,0.301181,1141,3386,0.045285,0.043807,1236,38448407,20794.16279,24,232,239,243,280,434,43,151,268,208,200,164,1922,86,785,1052,119,44348250,25,18,0,285,133,0,0
44007003400,1980,4973,4973,0.981701,0.010255,0,32,8,0.010859,1912,0.664582,0.200125,2114,3445,0.04375,0.018305,1407,97147655,50809.44299,48,143,198,191,249,195,60,153,204,168,216,94,1999,92,521,1386,151,129588000,29,35,75,350,59,4,0
44007003500,1980,4619,4619,0.956484,0.029444,0,46,19,0.015371,2371,0.437486,0.235294,1524,3201,0.036979,0.034585,897,50340010,21231.55209,50,377,370,206,270,386,37,356,363,231,129,90,2553,189,1793,572,1220,30092000,33,4,0,268,240,0,0
44007003601,1980,2562,2562,0.912568,0.044106,3,84,23,0.021858,717,0.231683,0.146535,495,876,0.032026,0.02371,248,15529046,21658.36262,379,410,103,51,74,70,274,425,114,64,39,26,773,54,542,177,345,12568500,6,2,1,267,67,1,0
44007003602,1980,6059,6059,0.899488,0.048523,11,239,66,0.023931,1270,0.171443,0.120793,920,1430,0.030057,0.015748,410,27909044,21975.6252,1143,1112,171,76,122,62,832,1168,207,105,69,45,1371,91,961,320,580,26791500,5,5,3,267,112,5,0
44007003700,1980,4250,4250,0.907059,0.062118,13,28,90,0.022353,1838,0.39238,0.285502,589,2561,0.06879,0.079434,932,31214200,16982.69859,73,373,212,154,215,152,82,341,197,191,136,58,1992,163,1393,436,464,9440000,7,6,0,216,144,0,5
44007010101,1980,3947,3947,1,0,0,0,0,0.010134,1451,0.66256,0.274237,513,2572,0.050237,0.074431,1071,30808355,21232.49828,54,152,171,136,178,138,66,114,165,143,141,79,1514,37,406,1071,219,50104000,60,5,5,255,50,0,0
44007010102,1980,4004,4004,0.977023,0.00974,28,4,21,0.006494,1616,0.636197,0.275537,474,2731,0.054415,0.048267,1156,33644435,20819.57611,58,129,117,153,292,195,38,132,124,111,201,98,1733,142,398,1193,399,56003750,21,11,0,175,47,0,0
44007010200,1980,7402,7402,0.893812,0.062145,43,6,277,0.023777,2509,0.602217,0.246617,293,4336,0.06951,0.078119,1813,43417180,17304.57553,186,462,300,243,313,393,164,401,324,194,209,177,2657,160,1150,1347,328,37328000,36,3,0,213,76,0,0
44007010300,1980,4292,4292,0.837838,0.09739,0,12,266,0.016309,1672,0.660177,0.275259,149,2815,0.083578,0.086722,1146,25137950,15034.65909,68,163,121,157,309,253,49,148,185,134,166,131,1724,46,708,970,411,33340000,53,0,0,130,23,4,0
44007010400,1980,7359,7359,0.914391,0.037641,20,187,146,0.023509,2748,0.60299,0.280302,343,4677,0.083614,0.084789,2050,44714490,16271.64847,112,389,283,282,456,268,121,302,291,230,277,177,2825,91,1449,1285,661,37228000,28,0,14,230,152,0,0
44007010501,1980,4782,4782,0.927436,0.031368,0,64,133,0.005437,1733,0.600661,0.290749,323,3131,0.06033,0.1206,1334,32256150,18612.89671,51,200,108,210,302,241,105,180,123,126,219,117,1776,45,599,1132,350,45004000,50,12,0,210,81,0,0
44007010502,1980,4968,4968,0.931965,0.0469,23,18,63,0.012681,1869,0.606805,0.257299,693,3436,0.043885,0.025682,1266,39790698,21289.83307,68,220,184,241,284,283,72,210,238,180,210,127,1994,135,783,1075,402,44699848,23,6,0,287,84,0,0
44007010600,1980,6845,6845,0.976479,0.009788,12,13,69,0.006136,2520,0.664737,0.241552,389,4126,0.0804,0.101587,1804,41379655,16420.49802,86,329,239,292,411,240,137,299,278,238,235,136,2660,104,1099,1457,477,48684000,68,8,0,236,98,0,0
44007010701,1980,2786,2786,0.979182,0.00682,7,33,0,0,964,0.822647,0.114361,350,1773,0.053127,0.009336,743,21819482,22634.31743,17,74,64,132,120,103,88,118,64,121,89,36,986,17,198,772,157,33344152,23,0,0,322,22,0,0
44007010702,1980,5076,5076,0.973207,0.016745,12,13,26,0,1676,0.69977,0.199874,418,3112,0.059842,0.041766,1396,36965215,22055.61754,109,188,203,195,187,102,87,183,220,155,156,61,1715,19,237,1459,72,60160000,61,13,7,278,57,0,0
44007010800,1980,4092,4092,0.948192,0.005376,33,10,147,0.120723,1812,0.579154,0.299373,140,2688,0.080412,0.151214,1029,22953035,12667.23786,62,218,188,86,272,246,43,172,175,148,197,123,2053,257,1415,381,609,5588750,10,0,0,169,78,0,0
44007010900,1980,4581,4581,0.953504,0.004366,0,20,173,0.101288,1631,0.541355,0.344626,53,2870,0.076781,0.093807,1107,22456165,13768.34151,106,201,200,69,297,322,118,239,210,96,161,128,1883,222,1252,409,444,5830000,0,0,0,180,60,0,0
44007011000,1980,4927,4927,0.924092,0.008727,51,45,231,0.106759,1862,0.571274,0.300887,81,2893,0.052878,0.182599,1270,23384805,12558.97154,41,233,171,169,293,214,55,207,193,129,144,112,2091,222,1403,465,534,5272545,0,0,0,185,133,0,0
44007011100,1980,3389,3389,0.949838,0.014163,0,4,118,0.083801,1278,0.538732,0.384763,89,1947,0.065839,0.115806,924,17088859,13371.56416,60,173,151,89,152,110,69,186,163,108,136,44,1415,158,865,392,208,5224794,0,0,0,190,53,0,0
44007011200,1980,5622,5622,0.997688,0.002312,0,0,0,0.031839,2040,0.685902,0.222744,204,3549,0.054502,0.068137,1565,34635465,16978.16912,99,243,218,153,336,246,91,248,205,149,178,134,2163,103,1017,1043,290,28236000,35,7,0,183,79,0,0
44007011301,1980,3758,3758,0.994678,0,0,0,20,0.001863,1281,0.68353,0.298201,228,2399,0.05829,0.086651,1058,27736800,21652.45902,63,139,70,182,152,109,33,167,137,172,129,56,1308,42,379,887,53,39920000,59,12,0,218,9,0,0
44007011302,1980,3387,3387,0.991733,0.001771,0,22,0,0.010334,1074,0.781634,0.157862,140,2048,0.057258,0.046555,950,24639595,22941.89479,21,129,89,148,118,23,102,119,121,86,85,18,1084,14,102,968,8,42292000,24,0,0,224,0,0,0
44007011401,1980,6685,6685,0.992521,0,0,0,50,0.002693,2026,0.61928,0.250668,1137,3852,0.03988,0.040967,1762,58339415,28795.36772,84,144,190,231,151,105,168,205,126,202,107,102,2091,35,288,1768,148,116140000,52,19,48,189,16,0,0
44007011402,1980,2846,2846,1,0,0,0,0,0.005973,823,0.742385,0.183853,349,1715,0.043956,0.030377,742,23126925,28100.75942,62,111,100,90,65,164,70,98,106,106,63,11,852,38,101,711,32,44441653,13,0,8,278,5,0,0
44007011403,1980,4798,4798,0.989162,0,0,50,0,0.009796,1605,0.734073,0.184388,412,2970,0.049961,0.042368,1368,36768644,22908.81246,60,155,109,164,220,92,88,188,110,148,150,91,1663,47,315,1299,181,65573785,42,5,5,183,12,0,0
44007011500,1980,4707,4707,1,0,0,0,0,0.004461,1782,0.688196,0.206682,346,3058,0.050601,0.074635,1264,34443797,19328.73008,91,215,146,160,278,250,56,189,183,156,174,100,1828,59,986,781,535,32281786,8,12,6,186,66,0,0
44007011600,1980,3951,3951,0.97874,0.00405,0,67,0,0.001519,1332,0.655664,0.256668,571,2518,0.060038,0.021021,1077,37687864,28294.19219,83,126,121,162,120,84,44,130,116,132,118,72,1385,25,317,1044,201,63576647,21,24,20,342,21,0,0
44007011701,1980,4487,4487,0.994651,0.005572,1,1,1,0.014709,1744,0.713052,0.260565,335,2988,0.047982,0.054472,1317,34341445,19691.19553,70,190,186,113,252,238,59,175,168,129,180,108,1765,44,652,1070,312,49496455,26,6,6,209,60,0,0
44007011702,1980,3834,3834,0.991132,0,0,34,0,0,1354,0.636813,0.264835,477,2452,0.053796,0.054653,1105,30235606,22330.5805,61,155,168,96,192,89,58,153,126,118,159,47,1378,32,309,1036,83,48912388,50,42,0,258,29,5,0
44007011800,1980,5945,5945,0.996299,0.000168,0,19,2,0.003364,2209,0.684898,0.266937,378,3835,0.078188,0.077411,1666,40436957,18305.54867,124,294,253,260,275,122,94,225,280,221,201,95,2281,99,804,1379,501,53291818,77,7,12,236,94,0,0
44007011901,1980,1988,1988,0.972837,0.01006,0,17,16,0.003521,691,0.602653,0.34695,186,1295,0.048897,0.053546,531,15179479,21967.4081,39,78,80,86,106,60,22,72,77,72,68,24,715,22,237,455,162,23362151,14,5,12,278,28,0,0
44007011902,1980,3855,3855,0.972763,0.010117,0,33,31,0.003891,1341,0.602736,0.347196,361,2511,0.049432,0.053691,1030,29433622,21949.00969,76,151,155,167,205,117,42,140,149,141,132,47,1386,42,460,883,315,45300153,28,10,23,278,55,0,0
44007012000,1980,7189,7189,0.995966,0,7,22,0,0.008346,2629,0.731166,0.212222,1039,4786,0.030588,0.049068,1974,62178505,23651.00989,91,339,226,301,397,298,153,344,298,221,293,102,2739,109,734,1896,564,83740000,97,11,6,277,139,0,0
44007012102,1980,3792,3792,0.987078,0.005538,6,8,14,0.005011,1433,0.708826,0.243332,278,2480,0.062011,0.060014,1077,26206825,18288.08444,73,226,142,146,182,112,42,178,150,117,172,62,1493,54,560,879,218,31420000,23,12,0,222,43,0,6
44007012103,1980,1562,1562,0.987196,0.002561,0,15,0,0.00128,603,0.506441,0.419661,97,1032,0.06014,0.104478,391,9746814,16163.87065,21,66,78,61,123,72,15,56,64,57,60,36,674,68,293,312,265,13668550,7,8,1,173,18,0,0
44007012104,1980,4066,4066,0.986719,0.002951,0,40,0,0.001722,1569,0.506771,0.419531,254,2685,0.061257,0.105163,1018,25361976,16164.42065,57,173,204,158,321,189,40,146,167,149,158,94,1756,177,764,814,689,35566641,20,22,4,173,49,0,0
44007012200,1980,4959,4959,0.998185,0,0,8,0,0,1519,0.735332,0.186224,406,3024,0.067364,0.063858,1322,34338355,22605.89533,77,183,170,244,165,151,53,230,160,203,124,76,1556,63,166,1325,9,72241335,43,0,15,272,8,0,0
44007012300,1980,6724,6724,0.997323,0,17,0,0,0.000595,2185,0.740365,0.22157,483,4130,0.087796,0.093364,1893,46129108,21111.71991,132,293,246,346,309,182,141,317,264,284,175,152,2259,94,504,1659,104,72136435,56,42,0,241,38,0,0
44007012401,1980,7070,7070,0.997313,0.000566,8,8,1,0.00495,2330,0.70309,0.225407,371,4425,0.097607,0.072103,1938,46951455,20150.83906,90,303,274,314,295,201,162,254,286,286,148,153,2457,82,565,1812,256,80094336,66,47,0,229,49,7,0
44007012402,1980,2176,2176,0.997243,0.00046,1,6,1,0.00046,756,0.825095,0.161122,113,1445,0.162732,0.087302,644,16226162,21463.17725,34,79,90,62,122,52,25,127,50,57,95,54,790,31,154,606,2,25739001,25,19,0,279,48,0,0
44007012500,1980,3998,3998,0.998749,0,0,5,0,0.007004,1426,0.741152,0.226624,281,2626,0.110341,0.07223,1117,26804570,18797.03366,37,193,172,144,207,176,55,176,150,154,129,84,1671,237,602,832,442,31688000,34,5,6,243,54,0,0
44007012601,1980,3129,3129,0.995845,0.001598,1,9,0,0.00767,872,0.552069,0.213952,219,1537,0.061308,0.059633,643,17348664,19895.25688,183,235,97,106,121,81,204,298,81,112,91,46,914,40,274,603,117,27235544,10,4,3,211,15,0,0
44007012602,1980,5504,5504,0.995821,0.002362,0,15,1,0.007813,1541,0.552182,0.216509,386,2714,0.061896,0.061648,1137,30543827,19820.78326,321,412,173,189,215,144,356,520,144,199,161,82,1618,71,487,1064,214,47892787,19,6,7,211,26,0,0
44007012701,1980,4200,4200,0.988333,0.002619,0,36,3,0.003333,1261,0.6399,0.26675,553,2503,0.057263,0.035686,1071,32842135,26044.51626,68,126,113,224,150,125,66,159,94,202,104,45,1320,32,161,1128,99,61333250,36,28,17,238,15,0,0
44007012702,1980,4106,4106,0.98831,0.002192,0,33,2,0.002923,1233,0.640051,0.266752,540,2447,0.057197,0.034874,1046,32112002,26043.79724,67,122,109,219,145,122,62,154,91,196,100,43,1291,30,157,1101,96,59972258,34,26,15,238,13,0,0
44007012801,1980,4380,4380,0.993836,0,14,4,6,0.004338,1541,0.721674,0.214097,401,2791,0.05,0.073978,1265,31544965,20470.45101,60,153,171,167,233,110,73,139,150,176,164,80,1604,65,395,1142,173,52435227,28,13,0,263,48,2,0
44007012802,1980,2275,2275,0.993846,0,8,3,3,0.004396,800,0.721759,0.214352,209,1449,0.050731,0.075,658,16384538,20480.6725,32,80,89,87,121,57,39,72,79,92,85,42,833,34,206,593,90,27235078,15,8,0,263,26,2,0
44007012803,1980,3355,3355,0.996721,0.00149,0,0,5,0,1085,0.64424,0.240559,280,2051,0.064556,0.020276,922,24838748,22892.8553,50,91,99,156,116,68,75,95,96,149,106,43,1102,29,158,915,23,39769975,13,0,5,205,0,0,0
44007012900,1980,4264,4264,0.991323,0,11,6,20,0.011257,1505,0.606375,0.296231,177,2611,0.048294,0.104319,1179,23847100,15845.24917,85,197,156,145,185,296,60,166,165,168,178,92,1512,47,641,824,131,29288000,55,0,0,218,79,0,0
44007013001,1980,2739,2743,0.993438,0.001458,2,2,10,0.002552,810,0.580798,0.357171,178,1586,0.068643,0.064198,679,15971648,19718.08395,0,100,125,122,88,104,0,88,104,136,65,67,845,27,155,663,16,23755500,16,8,0,217,7,0,0
44007013002,1980,6148,6156,0.993665,0.001137,5,6,20,0.002437,1820,0.580708,0.357507,401,3560,0.068474,0.064835,1523,35852628,19699.24615,1,225,282,273,197,233,1,196,235,305,147,150,1897,60,348,1489,37,53327286,36,19,0,217,15,1,0
44007013101,1980,3401,3401,0.998236,0,4,0,0,0.005881,1073,0.629899,0.314475,278,1968,0.064959,0.05219,870,21883429,20394.62162,49,108,141,165,102,73,42,118,110,163,64,61,1132,30,150,950,30,40029821,41,0,4,254,16,0,0
44007013102,1980,4152,4152,0.998796,0.000482,8,2,2,0.006503,1312,0.630176,0.314959,343,2405,0.066394,0.054116,1065,26709889,20358.1471,62,136,176,205,127,93,54,147,137,201,82,77,1384,40,187,1161,40,48860816,54,2,6,254,22,0,0
44007013201,1980,3725,3725,0.98953,0.001342,4,29,0,0.000805,1204,0.692768,0.214408,361,2263,0.058855,0.041528,1019,26447263,21966.16528,63,126,114,186,130,88,66,132,137,141,111,53,1264,44,176,1043,19,53166303,22,15,5,249,8,0,0
44007013202,1980,4678,4678,0.989525,0.001069,5,36,0,0.000428,1513,0.69243,0.214415,453,2842,0.058699,0.040978,1279,33215225,21953.22208,80,159,143,234,164,111,82,166,173,178,138,67,1587,54,222,1309,22,66770415,27,17,6,249,9,0,0
44007013300,1980,3373,3373,0.990809,0.000296,2,33,0,0.000593,1080,0.586404,0.227764,274,1994,0.064838,0.090741,896,24375847,22570.2287,74,108,137,155,80,91,37,95,143,147,93,48,1124,47,159,923,38,29806059,27,30,16,256,17,0,0
44007013400,1980,4909,4909,0.991852,0.008148,0,0,0,0,1788,0.628153,0.178056,855,3054,0.054416,0.059284,1231,35416455,19807.86074,99,231,218,209,276,199,101,185,134,241,145,116,1864,85,710,1069,296,43304000,31,21,12,253,80,0,0
44007013500,1980,5306,5306,0.962495,0.024312,0,17,53,0.008858,2006,0.572749,0.278939,508,3246,0.069938,0.079262,1330,34785425,17340.69043,88,250,239,214,323,223,67,234,221,179,190,89,2114,90,888,1136,491,36536000,56,0,0,254,156,0,0
44007013600,1980,3167,3167,0.961793,0.012314,9,44,29,0.014841,1104,0.55241,0.3121,290,1973,0.101783,0.076993,838,21052500,19069.29348,34,134,88,178,152,64,32,132,124,131,122,39,1163,38,329,796,77,31432000,61,0,11,259,29,0,0
44007013701,1980,4259,4259,1,0,0,0,0,0.015497,1684,0.660331,0.262651,411,2737,0.062644,0.07304,1196,29755625,17669.61105,47,233,170,159,223,215,71,198,125,173,142,139,1738,79,631,1028,106,34696000,19,29,0,241,95,0,0
44007013702,1980,3002,3002,0.993338,0,0,20,0,0.005663,1221,0.612474,0.251927,379,2010,0.0881,0.051597,911,21475150,17588.16544,60,124,141,106,201,175,53,101,73,132,122,63,1233,48,368,817,34,29736000,59,0,0,265,66,0,0
44007013800,1980,5048,5048,0.986727,0.003566,0,37,12,0.002377,2056,0.699501,0.211554,599,3446,0.082454,0.050097,1496,42069080,20461.61479,63,210,238,175,375,235,69,183,212,148,258,101,2095,68,607,1420,379,57396000,50,8,10,307,48,0,0
44007013900,1980,3130,3130,0.987859,0.005431,0,19,0,0.007348,1298,0.712625,0.179206,509,2280,0.058126,0.034669,939,28821642,22204.65485,23,105,90,100,248,174,62,103,95,73,176,75,1315,29,379,906,241,46930991,35,4,5,270,49,0,0
44007014000,1980,6197,6197,1,0,0,0,0,0.000807,2375,0.779484,0.167032,398,4291,0.084231,0.066105,1804,44339283,18669.17179,106,236,271,195,535,172,106,218,210,214,346,153,2471,81,594,1793,202,64995651,82,22,0,239,74,0,0
